"idNo","condition","response","stimNum","polAffil"
"746809","conservative",-1,105,"conservative"
"746809","conservative",-1,57,"conservative"
"746809","conservative",1,24,"conservative"
"746809","conservative",-1,102,"conservative"
"746809","conservative",-1,99,"conservative"
"746809","conservative",1,227,"conservative"
"746809","conservative",1,174,"conservative"
"746809","conservative",-1,62,"conservative"
"746809","conservative",1,204,"conservative"
"746809","conservative",-1,171,"conservative"
"746809","conservative",-1,240,"conservative"
"746809","conservative",1,52,"conservative"
"746809","conservative",1,28,"conservative"
"746809","conservative",-1,141,"conservative"
"746809","conservative",1,94,"conservative"
"746809","conservative",1,66,"conservative"
"746809","conservative",-1,1,"conservative"
"746809","conservative",1,10,"conservative"
"746809","conservative",1,216,"conservative"
"746809","conservative",1,154,"conservative"
"746809","conservative",-1,153,"conservative"
"746809","conservative",-1,131,"conservative"
"746809","conservative",1,188,"conservative"
"746809","conservative",-1,55,"conservative"
"746809","conservative",-1,241,"conservative"
"746809","conservative",-1,219,"conservative"
"746809","conservative",1,110,"conservative"
"746809","conservative",-1,91,"conservative"
"746809","conservative",-1,177,"conservative"
"746809","conservative",-1,145,"conservative"
"746809","conservative",-1,95,"conservative"
"746809","conservative",-1,193,"conservative"
"746809","conservative",-1,185,"conservative"
"746809","conservative",-1,60,"conservative"
"746809","conservative",-1,20,"conservative"
"746809","conservative",-1,202,"conservative"
"746809","conservative",1,80,"conservative"
"746809","conservative",-1,173,"conservative"
"746809","conservative",-1,249,"conservative"
"746809","conservative",1,239,"conservative"
"746809","conservative",1,23,"conservative"
"746809","conservative",-1,222,"conservative"
"746809","conservative",1,103,"conservative"
"746809","conservative",-1,225,"conservative"
